Name,ID,URL,Date,Time,Venue,City,Country,Latitude,Longitude,Genre,SubGenre,PriceRange,Currency
Phoenix Suns vs. Golden State Warriors,1A_Zk7FGkdN4Nhl,https://www.ticketmaster.com/phoenix-suns-vs-golden-state-warriors-phoenix-arizona-11-30-2024/event/19006108E35636EB,2024-11-30,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,139.0,USD
Phoenix Suns vs. Brooklyn Nets,1A_Zk7FGkdNfNht,https://www.ticketmaster.com/phoenix-suns-vs-brooklyn-nets-phoenix-arizona-11-27-2024/event/19006108E35236E9,2024-11-27,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,33.0,USD
Golden State Warriors vs. Phoenix Suns,G5vYZb8wkueaZ,https://www.ticketmaster.com/golden-state-warriors-vs-phoenix-suns-san-francisco-california-12-28-2024/event/1C00610C86342240,2024-12-28,17:30:00,Chase Center,San Francisco,United States Of America,37.76797,-122.387464,Basketball,NBA,150.0,USD
Orlando Magic v Phoenix Suns,1AeFZb8GkDOo-zZ,https://www.ticketmaster.com/orlando-magic-v-phoenix-suns-orlando-florida-12-08-2024/event/2200610EE0461E00,2024-12-08,18:30:00,Kia Center,Orlando,United States Of America,28.539293,-81.383957,Basketball,NBA,51.0,USD
San Antonio Spurs vs Phoenix Suns,G5dIZb8kECzK3,https://www.ticketmaster.com/san-antonio-spurs-vs-phoenix-suns-austin-texas-02-20-2025/event/3A006101A73B84D2,2025-02-20,20:30:00,Moody Center ATX,Austin,United States Of America,30.280735,-97.730837,Basketball,NBA,102.0,USD
Miami Heat vs. Phoenix Suns,vvG1VZb8Do8067,https://www.ticketmaster.com/miami-heat-vs-phoenix-suns-miami-florida-12-07-2024/event/0D00610ED14241C4,2024-12-07,20:00:00,Kaseya Center,Miami,United States Of America,25.781232,-80.187805,Basketball,NBA,40.0,USD
Phoenix Suns vs. San Antonio (NBA Cup Group Play),1A_Zk7FGkdNpNhR,https://www.ticketmaster.com/phoenix-suns-vs-san-antonio-nba-phoenix-arizona-12-03-2024/event/19006108E35A36EF,2024-12-03,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,49.0,USD
Phoenix Suns vs. Memphis Grizzlies,1A_Zk7FGkdNrSjc,https://www.ticketmaster.com/phoenix-suns-vs-memphis-grizzlies-phoenix-arizona-12-31-2024/event/19006108E37B372D,2024-12-31,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,44.0,USD
Phoenix Suns vs. Indiana Pacers,1A_Zk7FGkdN_ShH,https://www.ticketmaster.com/phoenix-suns-vs-indiana-pacers-phoenix-arizona-12-19-2024/event/19006108E36736FC,2024-12-19,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,37.0,USD
Indiana Pacers vs. Phoenix Suns,vv17fZb8GkDOTdiy,https://www.ticketmaster.com/indiana-pacers-vs-phoenix-suns-indianapolis-indiana-01-04-2025/event/0500610EE0FC3B39,2025-01-04,19:00:00,Gainbridge Fieldhouse,Indianapolis,United States Of America,39.764064,-86.155507,Basketball,NBA,52.0,USD
Golden State Warriors vs. Phoenix Suns,G5vYZb8wARwAV,https://www.ticketmaster.com/golden-state-warriors-vs-phoenix-suns-san-francisco-california-01-31-2025/event/1C00610C85BF2174,2025-01-31,19:00:00,Chase Center,San Francisco,United States Of America,37.76797,-122.387464,Basketball,NBA,135.0,USD
Phoenix Suns vs. Utah Jazz,1A_Zk7FGkdxsKbU,https://www.ticketmaster.com/phoenix-suns-vs-utah-jazz-phoenix-arizona-01-11-2025/event/19006108E2C53636,2025-01-11,15:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,57.0,USD
Brooklyn Nets v. Phoenix Suns,1AdZZb8GkUEExdZ,https://www.ticketmaster.com/brooklyn-nets-v-phoenix-suns-brooklyn-new-york-01-22-2025/event/3000610DA79E20C0,2025-01-22,19:30:00,Barclays Center,Brooklyn,United States Of America,40.68285,-73.97519,Basketball,NBA,48.0,USD
Charlotte Hornets vs. Phoenix Suns,G5eVZbCHkG_27,https://www.ticketmaster.com/charlotte-hornets-vs-phoenix-suns-charlotte-north-carolina-01-07-2025/event/2D0060EF063193C4,2025-01-07,19:00:00,Spectrum Center ,Charlotte,United States Of America,35.225222,-80.839921,Basketball,NBA,18.5,USD
Atlanta Hawks vs Phoenix Suns,vvG1zZb8h0ZA7X,https://www.ticketmaster.com/atlanta-hawks-vs-phoenix-suns-atlanta-georgia-01-14-2025/event/0E006106E400513E,2025-01-14,19:30:00,State Farm Arena,Atlanta,United States Of America,33.757796,-84.394569,Basketball,NBA,38.0,USD
Porland Trail Blazers v Phoenix Suns - Black History Night,vvG1HZbClafVJQ,https://www.ticketmaster.com/porland-trail-blazers-v-phoenix-suns-portland-oregon-02-01-2025/event/0F0060EAC953499A,2025-02-01,19:00:00,Moda Center,Portland,United States Of America,45.53118896,-122.66645813,Basketball,NBA,25.0,USD
Phoenix Suns vs. Minnesota Timberwolves,1A_Zk7FGkdxgN_f,https://www.ticketmaster.com/phoenix-suns-vs-minnesota-timberwolves-phoenix-arizona-01-29-2025/event/19006108E2D63654,2025-01-29,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,37.0,USD
Phoenix Suns vs. Atlanta Hawks,1A_Zk7FGkdxRNbw,https://www.ticketmaster.com/phoenix-suns-vs-atlanta-hawks-phoenix-arizona-01-09-2025/event/19006108E2BE3632,2025-01-09,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,46.0,USD
Phoenix Suns vs. Golden State Warriors,1A_Zk7FGkdNASQV,https://www.ticketmaster.com/phoenix-suns-vs-golden-state-warriors-phoenix-arizona-04-08-2025/event/19006108E31736B4,2025-04-08,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,123.0,USD
SACRAMENTO KINGS VS. PHOENIX SUNS,G5vYZb2n_2V2d,https://www.ticketmaster.com/sacramento-kings-vs-phoenix-suns-sacramento-california-04-13-2025/event/1C0060FA993F43C3,2025-04-13,12:30:00,Golden 1 Center,Sacramento,United States Of America,38.580372,-121.500231,Basketball,NBA,40.0,USD
Phoenix Suns vs. Charlotte Hornets,1A_Zk7FGkdxwK_Z,https://www.ticketmaster.com/phoenix-suns-vs-charlotte-hornets-phoenix-arizona-01-12-2025/event/19006108E2C93640,2025-01-12,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,49.0,USD
Phoenix Suns vs. Milwaukee Bucks,1A_Zk7FGkdNeNQl,https://www.ticketmaster.com/phoenix-suns-vs-milwaukee-bucks-phoenix-arizona-03-24-2025/event/19006108E30A36AB,2025-03-24,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Phoenix Suns vs. Minnesota Timberwolves,1A_Zk7FGkdxHd_T,https://www.ticketmaster.com/phoenix-suns-vs-minnesota-timberwolves-phoenix-arizona-03-02-2025/event/19006108E2F0367F,2025-03-02,19:30:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Portland Trail Blazers vs. Phoenix Suns,vvG1HZbClap7Jq,https://www.ticketmaster.com/portland-trail-blazers-vs-phoenix-suns-portland-oregon-02-03-2025/event/0F0060EAC958499D,2025-02-03,19:00:00,Moda Center,Portland,United States Of America,45.53118896,-122.66645813,Basketball,NBA,18.0,USD
Oklahoma City Thunder vs. Phoenix Suns,vvG1YZb8D7yShm,https://www.ticketmaster.com/oklahoma-city-thunder-vs-phoenix-suns-oklahoma-city-oklahoma-02-05-2025/event/0C00610EC4E736EE,2025-02-05,19:00:00,Paycom Center,Oklahoma City,United States Of America,35.463391,-97.514594,Basketball,NBA,12.0,USD
Phoenix Suns vs. Utah Jazz,1A_Zk7FGkdxUN_l,https://www.ticketmaster.com/phoenix-suns-vs-utah-jazz-phoenix-arizona-02-07-2025/event/19006108E2DA366B,2025-02-07,20:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Memphis Grizzlies vs. Phoenix Suns,G5viZb8wypxqY,https://www.ticketmaster.com/memphis-grizzlies-vs-phoenix-suns-memphis-tennessee-02-25-2025/event/1B00610CB95A2770,2025-02-25,19:00:00,FedExForum,Memphis,United States Of America,35.1394709,-90.0514933,Basketball,NBA,35.0,USD
Phoenix Suns vs. Memphis Grizzlies,1A_Zk7FGkdxzS_U,https://www.ticketmaster.com/phoenix-suns-vs-memphis-grizzlies-phoenix-arizona-02-11-2025/event/19006108E2E33676,2025-02-11,20:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,54.0,USD
Phoenix Suns vs. San Antonio Spurs,1A_Zk7FGkdNFdQD,https://www.ticketmaster.com/phoenix-suns-vs-san-antonio-spurs-phoenix-arizona-04-11-2025/event/19006108E32036BB,2025-04-11,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Memphis Grizzlies vs. Phoenix Suns,G5viZb8wM2wCs,https://www.ticketmaster.com/memphis-grizzlies-vs-phoenix-suns-memphis-tennessee-03-10-2025/event/1B00610CB73F23B1,2025-03-10,19:00:00,FedExForum,Memphis,United States Of America,35.1394709,-90.0514933,Basketball,NBA,35.0,USD
Phoenix Suns vs. New Orleans Pelicans,1A_Zk7FGkdxyS_z,https://www.ticketmaster.com/phoenix-suns-vs-new-orleans-pelicans-phoenix-arizona-02-27-2025/event/19006108E2E73678,2025-02-27,20:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,53.0,USD
Milwaukee Bucks vs. Phoenix Suns,vv1kjZb8ffG7XS3c,https://www.ticketmaster.com/milwaukee-bucks-vs-phoenix-suns-milwaukee-wisconsin-04-01-2025/event/0700610514FB34AD,2025-04-01,19:00:00,Fiserv Forum,Milwaukee,United States Of America,43.04228,-87.916896,Basketball,NBA,21.0,USD
Phoenix Suns vs. Sacramento Kings,1A_Zk7FGkdxXKQ9,https://www.ticketmaster.com/phoenix-suns-vs-sacramento-kings-phoenix-arizona-03-14-2025/event/19006108E2F93697,2025-03-14,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Phoenix Suns vs. Oklahoma City Thunder,1A_Zk7FGkdN6dQz,https://www.ticketmaster.com/phoenix-suns-vs-oklahoma-city-thunder-phoenix-arizona-04-09-2025/event/19006108E31C36B8,2025-04-09,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,77.0,USD
Phoenix Suns vs. New Orleans Pelicans,1A_Zk7FGkdxDd_D,https://www.ticketmaster.com/phoenix-suns-vs-new-orleans-pelicans-phoenix-arizona-02-28-2025/event/19006108E2EC367B,2025-02-28,19:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,NBA,89.0,USD
New Orleans Pelicans vs. Phoenix Suns,Z7r9jZ1A7C3xp,https://www.ticketmaster.com/event/Z7r9jZ1A7C3xp,2024-12-05,19:00:00,Smoothie King Center,New Orleans,United States Of America,29.9429,-90.082802,Basketball,NBA,,
Minnesota Timberwolves vs. Phoenix Suns,Z7r9jZ1A7C3jA,https://www.ticketmaster.com/event/Z7r9jZ1A7C3jA,2025-03-28,19:00:00,Target Center,Minneapolis,United States Of America,44.970299,-93.286102,Basketball,NBA,,
2025 Navy Federal Credit Union NHL Stadium Series - DET v. CBJ,vvG1fZb265h4W8,https://www.ticketmaster.com/2025-navy-federal-credit-union-nhl-columbus-ohio-03-01-2025/event/050060F1CB6D5F50,2025-03-01,18:00:00,Ohio Stadium,Columbus,United States Of America,40.004003,-83.019363,Hockey,NHL,40.0,USD
Kansas City Chiefs v Las Vegas Raiders,vv17bZbkGkD7C7jA,https://www.ticketmaster.com/kansas-city-chiefs-v-las-vegas-kansas-city-missouri-11-29-2024/event/0600606EC4384705,2024-11-29,14:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States Of America,39.04921048,-94.48417065,Football,NFL,190.0,USD
Green Bay Packers vs. Miami Dolphins,vv1A6ZkevGkdd2dCL,https://www.ticketmaster.com/green-bay-packers-vs-miami-dolphins-green-bay-wisconsin-11-28-2024/event/07006081C33C339F,2024-11-28,19:20:00,Lambeau Field,Green Bay,United States Of America,44.5012386,-88.0622376,Football,NFL,95.0,USD
Detroit Lions vs. Chicago Bears,vv1AFZkeoGkd7oxii,https://www.ticketmaster.com/detroit-lions-vs-chicago-bears-detroit-michigan-11-28-2024/event/08006091C4462B2C,2024-11-28,12:30:00,Ford Field,Detroit,United States Of America,42.339924,-83.045543,Football,NFL,999.0,USD
Buffalo Bills vs. San Francisco 49ers,k7vGFbkBGzvJp,https://www.ticketmaster.com/buffalo-bills-vs-san-francisco-49ers-orchard-park-new-york-12-01-2024/event/0000606E8CE01996,2024-12-01,20:20:00,Highmark Stadium,Orchard Park,United States Of America,42.773743,-78.786955,Football,NFL,128.74,USD
Discover NHL Winter Classic- St. Louis Blues v Chicago Blackhawks,vvG18Zb5epIszq,https://www.ticketmaster.com/discover-nhl-winter-classic-st-louis-chicago-illinois-12-31-2024/event/040060B096A31E1D,2024-12-31,16:00:00,Wrigley Field,Chicago,United States Of America,41.947304,-87.656447,Hockey,NHL,125.0,USD
Dallas Cowboys vs. New York Giants,vvG1YZbFnf2oNf,https://www.ticketmaster.com/dallas-cowboys-vs-new-york-giants-arlington-texas-11-28-2024/event/0C00608A943D18D4,2024-11-28,15:30:00,AT&T Stadium,Arlington,United States Of America,32.74790427,-97.09345578,Football,NFL,,
Pittsburgh Steelers vs. Kansas City Chiefs,1ApZkvPGkey1N84,https://www.ticketmaster.com/pittsburgh-steelers-vs-kansas-city-chiefs-pittsburgh-pennsylvania-12-25-2024/event/16006065B92A3415,2024-12-25,13:00:00,Acrisure Stadium,Pittsburgh,United States Of America,40.446093,-80.015884,Football,NFL,50.0,USD
Minnesota Vikings vs. Arizona Cardinals,vv17bZb7GkMuikir,https://www.ticketmaster.com/minnesota-vikings-vs-arizona-cardinals-minneapolis-minnesota-12-01-2024/event/0600604DCDB06B1E,2024-12-01,12:00:00,U.S. Bank Stadium,Minneapolis,United States Of America,44.973617,-93.257528,Football,NFL,76.0,USD
Minnesota Vikings vs. Atlanta Falcons,vv17bZb7GkM2gURT,https://www.ticketmaster.com/minnesota-vikings-vs-atlanta-falcons-minneapolis-minnesota-12-08-2024/event/0600604DCFD76BFF,2024-12-08,12:00:00,U.S. Bank Stadium,Minneapolis,United States Of America,44.973617,-93.257528,Football,NFL,84.0,USD
Seattle Seahawks v Green Bay Packers,vvG1HZbFH8Ip0J,https://www.ticketmaster.com/seattle-seahawks-v-green-bay-packers-seattle-washington-12-15-2024/event/0F00608F10A16926,2024-12-15,17:20:00,Lumen Field,Seattle,United States Of America,47.595083,-122.331607,Football,NFL,150.0,USD
Minnesota Vikings vs. Green Bay Packers,vv17bZb7GkM5-Un1,https://www.ticketmaster.com/minnesota-vikings-vs-green-bay-packers-minneapolis-minnesota-12-29-2024/event/0600604DCB876A8A,2024-12-29,12:00:00,U.S. Bank Stadium,Minneapolis,United States Of America,44.973617,-93.257528,Football,NFL,150.0,USD
Eagles Live at Sphere,17AYvOG6GbfH7QD,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-18-2025/event/170060C614F046BB,2025-01-18,20:30:00,Sphere,Las Vegas,United States Of America,36.1207267,-115.1642896,Rock,Pop,127.5,USD
Carolina Panthers vs. Tampa Bay Buccaneers,G5eVZbkD5cJdA,https://www.ticketmaster.com/carolina-panthers-vs-tampa-bay-buccaneers-charlotte-north-carolina-12-01-2024/event/2D00606ECBB660C5,2024-12-01,16:05:00,Bank of America Stadium,Charlotte,United States Of America,35.225789,-80.852829,Football,NFL,53.0,USD
Philadelphia Eagles vs. Pittsburgh Steelers,vv17FZbaGkM3wf-2,https://www.ticketmaster.com/philadelphia-eagles-vs-pittsburgh-steelers-philadelphia-pennsylvania-12-15-2024/event/0200609DD2C9484F,2024-12-15,16:25:00,Lincoln Financial Field,Philadelphia,United States Of America,39.900706,-75.167406,Football,NFL,130.0,USD
Pittsburgh Steelers vs. Cleveland Browns,1ApZkvPGkeyFK2L,https://www.ticketmaster.com/pittsburgh-steelers-vs-cleveland-browns-pittsburgh-pennsylvania-12-08-2024/event/16006065B92133DF,2024-12-08,13:00:00,Acrisure Stadium,Pittsburgh,United States Of America,40.446093,-80.015884,Football,NFL,50.0,USD
New York Jets vs. Seattle Seahawks,k7vGFb6M6-pq_,https://www.ticketmaster.com/new-york-jets-vs-seattle-seahawks-east-rutherford-new-jersey-12-01-2024/event/0000607DC7856759,2024-12-01,13:00:00,MetLife Stadium,East Rutherford,United States Of America,40.81359,-74.074493,Football,NFL,74.0,USD
Atlanta Falcons vs. Los Angeles Chargers,vvG1zZbFRLSE7-,https://www.ticketmaster.com/atlanta-falcons-vs-los-angeles-chargers-atlanta-georgia-12-01-2024/event/0E00608BDFCE7121,2024-12-01,13:00:00,Mercedes-Benz Stadium,Atlanta,United States Of America,33.755389,-84.400823,Football,NFL,55.0,USD
Cincinnati Bengals vs. Pittsburgh Steelers,1AvbZb6GklZS7q3,https://www.ticketmaster.com/cincinnati-bengals-vs-pittsburgh-steelers-cincinnati-ohio-12-01-2024/event/1600607AC0CC4752,2024-12-01,13:00:00,Paycor Stadium,Cincinnati,United States Of America,39.0955556,-84.5161111,Football,NFL,125.0,USD
